id,latitude,longitude,name,zone,total_lines,rail
181,51.5237,-0.2597,north acton,2.5,1,0
182,51.5175,-0.2887,north ealing,3.0,1,0
184,51.5846,-0.3626,north harrow,5.0,1,0
185,51.5621,-0.3034,north wembley,4.0,1,0
186,51.5094,-0.1967,notting hill gate,1.5,3,0
188,51.5263,-0.0873,old street,1.0,1,1
190,51.4813,-0.3522,osterley,4.0,1,0
191,51.4819,-0.113,oval,2.0,1,0
192,51.515,-0.1415,oxford circus,1.0,3,0
193,51.5154,-0.1755,paddington,1.0,4,1
194,51.527,-0.2841,park royal,3.0,1,0
195,51.4753,-0.2011,parsons green,2.0,1,0
196,51.5366,-0.3232,perivale,4.0,1,0
197,51.5098,-0.1342,picadilly circus,1.0,2,0
198,51.4893,-0.1334,pimlico,1.0,1,0
199,51.5926,-0.3805,pinner,5.0,1,0
200,51.5313,0.0172,plaistow,3.0,2,0
201,51.5077,-0.0173,poplar,2.0,1,0
202,51.572,-0.2954,preston road,4.0,1,0
203,51.5093,0.0336,prince regent,3.0,1,0
205,51.4682,-0.2089,putney bridge,2.0,1,0
206,51.5341,-0.2047,queen's park,2.0,1,1
207,51.5942,-0.2861,queensbury,4.0,1,0
208,51.5107,-0.1877,queensway,1.0,1,0
209,51.4942,-0.2359,ravenscourt park,2.0,1,0
210,51.5753,-0.3714,rayners lane,5.0,2,0
211,51.5763,0.0454,redbridge,4.0,1,0
212,51.5234,-0.1466,regent's park,1.0,1,0
213,51.4633,-0.3013,richmond,4.0,1,1
215,51.6171,0.0439,roding valley,5.0,1,0
216,51.501,-0.0525,rotherhithe,2.0,1,0
217,51.5084,0.0465,royal albert,3.0,1,0
218,51.519,-0.188,royal oak,2.0,1,0
219,51.5091,0.0181,royal victoria,3.0,1,0
220,51.5715,-0.4213,ruislip,6.0,2,0
222,51.5732,-0.4125,ruislip manor,6.0,2,0
223,51.523,-0.1244,russell square,1.0,1,0
224,51.5822,-0.0749,seven sisters,3.0,1,1
225,51.5117,-0.056,shadwell,2.0,2,0
226,51.5046,-0.2187,shepherd's bush (c),2.0,1,0
227,51.5058,-0.2265,shepherd's bush (h),2.0,1,0
228,51.5227,-0.0708,shoreditch,2.0,1,0
229,51.4924,-0.1565,sloane square,1.0,2,0
230,51.5808,0.0216,snaresbrook,4.0,1,0
231,51.4454,-0.2066,southfields,3.0,1,0
234,51.5011,-0.3072,south ealing,3.0,1,0
235,51.5646,-0.3521,south harrow,5.0,1,0
236,51.4941,-0.1738,south kensington,1.0,3,0
237,51.5701,-0.3081,south kenton,4.0,1,0
238,51.5007,-0.0191,south quay,2.0,1,0
239,51.5569,-0.3988,south ruislip,5.0,1,1
240,51.4154,-0.1919,south wimbledon,3.5,1,0
241,51.5917,0.0275,south woodford,4.0,1,0
242,51.495,-0.2459,stamford brook,2.0,1,0
243,51.6194,-0.3028,stanmore,5.0,1,0
244,51.5221,-0.047,stepney green,2.0,2,0
245,51.4723,-0.123,stockwell,2.0,2,0
246,51.5439,-0.2759,stonebridge park,3.0,1,0
247,51.5416,-0.0042,stratford,3.0,3,1
248,51.4994,-0.1335,st. james's park,1.0,2,0
249,51.5347,-0.174,st. john's wood,2.0,1,0
250,51.5146,-0.0973,st. paul's,1.0,1,0
251,51.5569,-0.3366,sudbury hill,4.0,1,0
252,51.5507,-0.3156,sudbury town,4.0,1,0
253,51.4933,-0.0478,surrey quays,2.0,1,0
254,51.5432,-0.1738,swiss cottage,2.0,2,0
255,51.5111,-0.1141,temple,1.0,2,0
257,51.4361,-0.1598,tooting bec,3.0,1,0
258,51.4275,-0.168,tooting broadway,3.0,1,0
259,51.5165,-0.131,tottenham court road,1.0,2,0
260,51.5882,-0.0594,tottenham hale,3.0,1,1
262,51.5106,-0.0743,tower gateway,1.0,1,0
263,51.5098,-0.0766,tower hill,1.0,2,0
264,51.5567,-0.1374,tufnell park,2.0,1,0
265,51.4951,-0.2547,turnham green,2.5,2,0
266,51.5904,-0.1028,turnpike lane,3.0,1,0
267,51.559,0.251,upminster,6.0,1,1
268,51.5582,0.2343,upminster bridge,6.0,1,0
269,51.5385,0.1014,upney,4.0,1,0
270,51.5352,0.0343,upton park,3.0,2,0
271,51.5463,-0.4786,uxbridge,6.0,2,0
272,51.4861,-0.1253,vauxhall,1.5,1,1
273,51.4965,-0.1447,victoria,1.0,3,1
274,51.583,-0.0195,walthamstow central,3.0,1,1
275,51.5775,0.0288,wanstead,4.0,1,0
276,51.5043,-0.0558,wapping,2.0,1,0
277,51.5247,-0.1384,warren street,1.0,2,0
278,51.5235,-0.1835,warwick avenue,2.0,1,0
279,51.5036,-0.1143,waterloo,1.0,4,1
281,51.5519,-0.2963,wembley central,4.0,1,1
282,51.5635,-0.2795,wembley park,4.0,2,0
283,51.521,-0.2011,westbourne park,2.0,1,0
284,51.5097,-0.0265,westferry,2.0,1,0
285,51.501,-0.1254,westminster,1.0,3,0
286,51.518,-0.2809,west acton,3.0,1,0
287,51.4872,-0.1953,west brompton,2.0,1,1
288,51.6095,-0.1883,west finchley,4.0,1,0
289,51.5287,0.0056,west ham,3.0,3,1
290,51.5469,-0.1906,west hampstead,2.0,1,1
291,51.5795,-0.3533,west harrow,5.0,1,0
292,51.507,-0.0203,west india quay,2.0,1,0
293,51.4907,-0.2065,west kensington,2.0,1,0
294,51.5696,-0.4376,west ruislip,6.0,1,1
295,51.5194,-0.0612,whitechapel,2.0,3,0
296,51.512,-0.2239,white city,2.0,1,0
297,51.5492,-0.2215,willesden green,2.5,1,0
298,51.5326,-0.2478,willesden junction,3.0,1,1
299,51.4214,-0.2064,wimbledon,3.0,1,1
300,51.4343,-0.1992,wimbledon park,3.0,1,0
301,51.607,0.0341,woodford,4.0,1,0
302,51.6179,-0.1856,woodside park,4.0,1,0
303,51.5975,-0.1097,wood green,3.0,1,0
35,51.4627,-0.1145,brixton,2.0,1,1
6,51.6736,-0.607,amersham,10.0,1,1
23,51.4979,-0.0637,bermondsey,2.0,1,0
50,51.7052,-0.611,chesham,10.0,1,0
46,51.6679,-0.561,chalfont & latimer,9.0,1,1
53,51.6543,-0.5183,chorleywood,8.0,1,0
214,51.6404,-0.4733,rickmansworth,7.0,1,0
62,51.647,-0.4412,croxley,7.0,1,0
280,51.6573,-0.4177,watford,8.0,1,0
221,51.5606,-0.4103,ruislip gardens,5.0,1,0
121,51.6503,-0.1943,high barnet,5.0,1,0
261,51.6302,-0.1791,totteridge & whetstone,4.0,1,0
57,51.6517,-0.1496,cockfosters,5.0,1,0
187,51.6476,-0.1318,oakwood,5.0,1,0
232,51.6322,-0.128,southgate,4.0,1,0
88,51.6937,0.1139,epping,6.0,1,0
256,51.6717,0.1033,theydon bois,6.0,1,0
68,51.6455,0.0838,debden,6.0,1,0
158,51.6412,0.0558,loughton,6.0,1,0
37,51.6266,0.0471,buckhurst hill,5.0,1,0
204,51.5343,-0.0139,pudding mill lane,2.5,1,0
233,51.501,-0.1052,southwark,1.0,1,0
41,51.4982,-0.0502,canada water,2.0,2,0
43,51.5147,0.0082,canning town,3.0,2,0
183,51.5005,0.0039,north greenwich,2.5,1,0
64,51.4827,-0.0096,cutty sark,2.5,1,0
106,51.4781,-0.0149,greenwich,2.5,1,1
69,51.474,-0.0216,deptford bridge,2.5,1,0
86,51.4693,-0.0174,elverson road,2.5,1,0
152,51.4657,-0.0142,lewisham,2.5,1,1
174,51.4767,-0.0327,new cross,2.0,1,1
175,51.4757,-0.0402,new cross gate,2.0,1,1
