Line,Direction,Station from (A),Station to (B),Distance (Kms),from_id,to_id
District,Westbound,ealing common,ealing broadway,1.5,73,72
District,Westbound,turnham green,gunnersbury,1.59,265,108
District,Westbound,gunnersbury,kew gardens,1.71,108,141
District,Westbound,kew gardens,richmond,2.14,141,213
District,Eastbound,ealing broadway,ealing common,1.5,72,73
District,Eastbound,ealing common,acton town,1.03,73,1
District,Eastbound,acton town,chiswick park,1.21,1,52
District,Eastbound,chiswick park,turnham green,0.95,52,265
District,Eastbound,turnham green,stamford brook,0.55,265,242
District,Eastbound,stamford brook,ravenscourt park,0.77,242,209
District,Eastbound,ravenscourt park,hammersmith,0.93,209,110
District,Eastbound,hammersmith,barons court,0.68,110,17
District,Eastbound,barons court,west kensington,0.64,17,293
District,Eastbound,west kensington,earl's court,0.9,293,74
District,Eastbound,richmond,kew gardens,2.14,213,141
District,Eastbound,kew gardens,gunnersbury,1.71,141,108
District,Eastbound,gunnersbury,turnham green,1.59,108,265
District,Eastbound,wimbledon,wimbledon park,1.5,299,300
District,Eastbound,wimbledon park,southfields,1.45,300,231
District,Eastbound,southfields,east putney,1.53,231,80
District,Eastbound,east putney,putney bridge,1.11,80,205
District,Eastbound,putney bridge,parsons green,0.95,205,195
District,Eastbound,parsons green,fulham broadway,0.79,195,96
District,Eastbound,fulham broadway,west brompton,0.84,96,287
District,Eastbound,west brompton,earl's court,0.6,287,74
District,Eastbound,kensington (olympia),earl's court,1.54,138,74
District,Eastbound,earl's court,high street kensington,1.26,74,122
District,Eastbound,high street kensington,notting hill gate,0.93,122,186
District,Eastbound,notting hill gate,bayswater,0.79,186,18
District,Eastbound,bayswater,paddington,0.98,18,193
District,Eastbound,paddington,edgware road (Circle),0.82,193,83
District,Eastbound,earl's court,gloucester road,0.93,74,99
District,Eastbound,gloucester road,south kensington,0.74,99,236
District,Eastbound,south kensington,sloane square,1.22,236,229
District,Eastbound,sloane square,victoria,1.05,229,273
District,Eastbound,victoria,st. james's park,0.72,273,248
District,Eastbound,st. james's park,westminster,0.76,248,285
District,Eastbound,westminster,embankment,0.69,285,87
District,Eastbound,embankment,temple,0.71,87,255
District,Eastbound,temple,blackfriars,0.76,255,25
District,Eastbound,blackfriars,mansion house,0.61,25,161
District,Eastbound,mansion house,cannon street,0.31,161,44
District,Eastbound,cannon street,monument,0.34,44,166
District,Eastbound,monument,tower hill,0.68,166,263
District,Eastbound,tower hill,aldgate east,0.8,263,3
District,Eastbound,aldgate east,whitechapel,0.82,3,295
District,Eastbound,whitechapel,stepney green,1.0,295,244
District,Eastbound,stepney green,mile end,1.05,244,164
District,Eastbound,mile end,bow road,0.55,164,33
District,Eastbound,bow road,bromley-by-bow,1.01,33,36
District,Eastbound,bromley-by-bow,west ham,1.37,36,289
District,Eastbound,west ham,plaistow,0.76,289,200
District,Eastbound,plaistow,upton park,1.29,200,270
District,Eastbound,upton park,east ham,1.4,270,78
District,Eastbound,east ham,barking,2.29,78,15
District,Eastbound,barking,upney,1.38,15,269
District,Eastbound,upney,becontree,1.87,269,21
District,Eastbound,becontree,dagenham heathway,1.37,21,67
District,Eastbound,dagenham heathway,dagenham east,1.35,67,66
District,Eastbound,dagenham east,elm park,2.37,66,85
District,Eastbound,elm park,hornchurch,1.5,85,129
District,Eastbound,hornchurch,upminster bridge,1.26,129,268
District,Eastbound,upminster bridge,upminster,1.24,268,267
Northern,Southbound,kennington,nine elms,1.61,136,305
Northern,Southbound,nine elms,battersea power station,1.25,305,304
Northern,Northbound,battersea power station,nine elms,1.25,304,305
Northern,Northbound,nine elms,kennington,1.61,305,136
